Job Id,individual_skill
14444304094654645693,Bug Tracking
14444304094654645693,Test Cases
14444304094654645693,Automation
7796852980988200565,MySQL
7796852980988200565,Oracle
7796852980988200565,SQL
10307745688118511339,SQL
10307745688118511339,Backup/Recovery
10307745688118511339,MySQL
7480230443576738778,ETL
7480230443576738778,Python
7480230443576738778,Spark
6423421545573076364,Encryption
6423421545573076364,Penetration Testing
6423421545573076364,SIEM
7385245788082880681,Kubernetes
7385245788082880681,CI/CD
7385245788082880681,Docker
16547604837227971156,Swift
16547604837227971156,iOS
16547604837227971156,Flutter
6382703261202664173,Kubernetes
6382703261202664173,AWS
6382703261202664173,Jenkins
7661712229667588559,Infrastructure as Code
7661712229667588559,Azure
7661712229667588559,Security
9553010454145026621,Oracle
9553010454145026621,SQL
9553010454145026621,Performance Tuning
8589028924900525305,Network Security
8589028924900525305,Encryption
8589028924900525305,SIEM
14088014044991538820,React Native
14088014044991538820,iOS
14088014044991538820,Flutter
5594956072976794661,Vue.js
5594956072976794661,JavaScript
5594956072976794661,HTML
2378789125398218492,TensorFlow
2378789125398218492,Python
2378789125398218492,PyTorch
3980589533240246791,Requirements Gathering
3980589533240246791,Testing
3980589533240246791,SDLC
17790328356657120031,Jenkins
17790328356657120031,CI/CD
17790328356657120031,Kubernetes
7352636900917854631,Monitoring
7352636900917854631,Firewall Configuration
7352636900917854631,Routing
12545593869297206101,Firewall Configuration
12545593869297206101,Routing
12545593869297206101,Monitoring
16230616391719145339,REST APIs
16230616391719145339,Node.js
16230616391719145339,Django
13964802937625266069,TensorFlow
13964802937625266069,NLP
13964802937625266069,Deep Learning
9916929232782901362,PyTorch
9916929232782901362,NLP
9916929232782901362,TensorFlow
7001068425610480830,Linux
7001068425610480830,Troubleshooting
7001068425610480830,Customer Support
2346248403361350396,React Native
2346248403361350396,Android
2346248403361350396,iOS
5447463743404984947,Encryption
5447463743404984947,Network Security
5447463743404984947,SIEM
4539580905409498865,Node.js
4539580905409498865,Java
4539580905409498865,Python
727637662969188190,TensorFlow
727637662969188190,Research
727637662969188190,NLP
6022286481882171049,Firewalls
6022286481882171049,Encryption
6022286481882171049,Penetration Testing
10236674582844555534,Python
10236674582844555534,PyTorch
10236674582844555534,Model Training
11383645637933222137,Django
11383645637933222137,Java
11383645637933222137,REST APIs
15588869110454111067,AWS
15588869110454111067,Jenkins
15588869110454111067,Docker
6990796351245011729,Windows
6990796351245011729,Helpdesk
6990796351245011729,Linux
6547055534322893751,Firewall Configuration
6547055534322893751,Cisco
6547055534322893751,Switching
6031764194119140646,Linux
6031764194119140646,Troubleshooting
6031764194119140646,Windows
5014576710301204690,Infrastructure as Code
5014576710301204690,Security
5014576710301204690,GCP
16905827783913065090,Troubleshooting
16905827783913065090,Windows
16905827783913065090,Linux
13442963518522937016,CI/CD
13442963518522937016,AWS
13442963518522937016,Docker
17851085166847544063,SDLC
17851085166847544063,Requirements Gathering
17851085166847544063,Business Analysis
3174094267460043450,Penetration Testing
3174094267460043450,Network Security
3174094267460043450,Encryption
13462685361779984371,Customer Support
13462685361779984371,Linux
13462685361779984371,Troubleshooting
5311748850533745381,Swift
5311748850533745381,iOS
5311748850533745381,Android
1289049452926092311,Cisco
1289049452926092311,Switching
1289049452926092311,Monitoring
8131015609423252548,Testing
8131015609423252548,SDLC
8131015609423252548,Business Analysis
10273922124195188517,Test Cases
